NAME,median_household_income,median_gross_rent,median_home_value,total_pop,white_nonhispanic,black_nonhispanic,hispanic_latino,state,county,tract,year,GEOID,boundary_vintage,cpi,inflation_factor,real_median_household_income,real_median_gross_rent,real_median_home_value
"Census Tract 44.04, Denver County, Colorado",30620.0,755.0,166500.0,5879.0,2049.0,2015.0,1317.0,08,031,004404,2011,08031004404,2010_tracts,224.93916666666667,1.30104028126123,39837.853412218865,982.2854123522287,216623.2068299948
"Census Tract 44.05, Denver County, Colorado",63955.0,1041.0,493000.0,7678.0,5324.0,823.0,795.0,08,031,004405,2011,08031004405,2010_tracts,224.93916666666667,1.30104028126123,83208.03118806197,1354.3829327929404,641412.8586617864
"Census Tract 46.02, Denver County, Colorado",36719.0,786.0,155900.0,6929.0,1134.0,76.0,5441.0,08,031,004602,2011,08031004602,2010_tracts,224.93916666666667,1.30104028126123,47772.8980876311,1022.6176610713268,202832.17984862576
"Census Tract 48.01, Denver County, Colorado",57734.0,1460.0,211800.0,2667.0,1633.0,0.0,913.0,08,031,004801,2011,08031004801,2010_tracts,224.93916666666667,1.30104028126123,75114.25959833586,1899.518810641396,275560.3315711285
"Census Tract 70.37, Denver County, Colorado",27439.0,710.0,292300.0,3837.0,1185.0,1037.0,1316.0,08,031,007037,2011,08031007037,2010_tracts,224.93916666666667,1.30104028126123,35699.244277526894,923.7385996954733,380294.0742126575
"Census Tract 83.12, Denver County, Colorado",34918.0,695.0,152100.0,6510.0,478.0,2389.0,3343.0,08,031,008312,2011,08031008312,2010_tracts,224.93916666666667,1.30104028126123,45429.72454107963,904.2229954765548,197888.2267798331
"Census Tract 45.03, Denver County, Colorado",31807.0,793.0,120500.0,4579.0,563.0,0.0,3733.0,08,031,004503,2011,08031004503,2010_tracts,224.93916666666667,1.30104028126123,41382.188226075945,1031.7249430401555,156775.35389197821
"Census Tract 19.01, Denver County, Colorado",18920.0,300.0,215600.0,2537.0,807.0,435.0,1100.0,08,031,001901,2011,08031001901,2010_tracts,224.93916666666667,1.30104028126123,24615.682121462472,390.31208437836904,280504.2846399212
"Census Tract 19.02, Denver County, Colorado",113750.0,1660.0,,314.0,143.0,0.0,96.0,08,031,001902,2011,08031001902,2010_tracts,224.93916666666667,1.30104028126123,147993.33199346493,2159.7268668936417,
"Census Tract 41.06, Denver County, Colorado",133393.0,1762.0,450400.0,9462.0,6510.0,798.0,1470.0,08,031,004106,2011,08031004106,2010_tracts,224.93916666666667,1.30104028126123,173549.66623827926,2292.4329755822873,585988.542680058
"Census Tract 41.07, Denver County, Colorado",84405.0,1177.0,338400.0,3279.0,2412.0,575.0,117.0,08,031,004107,2011,08031004107,2010_tracts,224.93916666666667,1.30104028126123,109814.30493985412,1531.3244110444678,440272.0311788003
"Census Tract 45.04, Denver County, Colorado",26108.0,792.0,140500.0,3294.0,551.0,17.0,2638.0,08,031,004504,2011,08031004504,2010_tracts,224.93916666666667,1.30104028126123,33967.55966316819,1030.4239027588942,182796.15951720282
"Census Tract 45.05, Denver County, Colorado",31997.0,975.0,120700.0,4136.0,645.0,20.0,3375.0,08,031,004505,2011,08031004505,2010_tracts,224.93916666666667,1.30104028126123,41629.385879515576,1268.5142742296994,157035.56194823046
"Census Tract 120.14, Denver County, Colorado",60039.0,964.0,202900.0,6038.0,4239.0,0.0,1489.0,08,031,012014,2011,08031012014,2010_tracts,224.93916666666667,1.30104028126123,78113.15744664299,1254.2028311358258,263981.0730679036
"Census Tract 29.01, Denver County, Colorado",53484.0,819.0,341700.0,2845.0,2247.0,59.0,279.0,08,031,002901,2011,08031002901,2010_tracts,224.93916666666667,1.30104028126123,69584.83840297563,1065.5519903529473,444565.4641069623
"Census Tract 30.01, Denver County, Colorado",72561.0,882.0,354600.0,5290.0,4558.0,17.0,319.0,08,031,003001,2011,08031003001,2010_tracts,224.93916666666667,1.30104028126123,94404.78384859611,1147.517528072405,461348.8837352322
"Census Tract 30.03, Denver County, Colorado",32000.0,997.0,276700.0,3364.0,2840.0,52.0,284.0,08,031,003003,2011,08031003003,2010_tracts,224.93916666666667,1.30104028126123,41633.289000359364,1297.1371604174465,359997.84582498233
"Census Tract 37.03, Denver County, Colorado",49375.0,730.0,318600.0,2624.0,1909.0,273.0,218.0,08,031,003703,2011,08031003703,2010_tracts,224.93916666666667,1.30104028126123,64238.86388727323,949.759405320698,414511.4336098279
"Census Tract 44.03, Denver County, Colorado",41991.0,860.0,187100.0,4030.0,1803.0,714.0,1261.0,08,031,004403,2011,08031004403,2010_tracts,224.93916666666667,1.30104028126123,54631.982450440315,1118.8946418846579,243424.63662397614
"Census Tract 51.04, Denver County, Colorado",30915.0,695.0,245100.0,2833.0,1819.0,206.0,545.0,08,031,005104,2011,08031005104,2010_tracts,224.93916666666667,1.30104028126123,40221.66029519093,904.2229954765548,318884.97293712746
"Census Tract 52, Denver County, Colorado",62011.0,1284.0,269000.0,2970.0,2409.0,96.0,192.0,08,031,005200,2011,08031005200,2010_tracts,224.93916666666667,1.30104028126123,80678.80888129014,1670.5357211394194,349979.8356592709
"Census Tract 68.12, Denver County, Colorado",45530.0,754.0,210700.0,2890.0,2508.0,142.0,151.0,08,031,006812,2011,08031006812,2010_tracts,224.93916666666667,1.30104028126123,59236.3640058238,980.9843720709674,274129.1872617412
"Census Tract 83.06, Denver County, Colorado",42321.0,721.0,188400.0,6246.0,218.0,1906.0,3954.0,08,031,008306,2011,08031008306,2010_tracts,224.93916666666667,1.30104028126123,55061.325743256515,938.0500427893469,245115.98898961575
"Census Tract 119.03, Denver County, Colorado",59427.0,1015.0,241100.0,2460.0,1143.0,0.0,881.0,08,031,011903,2011,08031011903,2010_tracts,224.93916666666667,1.30104028126123,77316.92079451111,1320.5558854801486,313680.81181208254
"Census Tract 3.01, Denver County, Colorado",50719.0,699.0,295900.0,5010.0,3245.0,38.0,1577.0,08,031,000301,2011,08031000301,2010_tracts,224.93916666666667,1.30104028126123,65987.46202528833,909.4271566015998,384977.81922519795
"Census Tract 10, Denver County, Colorado",19712.0,514.0,150500.0,4003.0,478.0,249.0,3105.0,08,031,001000,2011,08031001000,2010_tracts,224.93916666666667,1.30104028126123,25646.106024221368,668.7347045682723,195806.56232981512
"Census Tract 14.03, Denver County, Colorado",41703.0,920.0,179000.0,2030.0,1206.0,13.0,772.0,08,031,001403,2011,08031001403,2010_tracts,224.93916666666667,1.30104028126123,54257.28284943708,1196.9570587603316,232886.2103457602
"Census Tract 15, Denver County, Colorado",24190.0,763.0,159700.0,3196.0,510.0,103.0,2547.0,08,031,001500,2011,08031001500,2010_tracts,224.93916666666667,1.30104028126123,31472.164403709154,992.6937346023185,207776.13291741844
"Census Tract 17.01, Denver County, Colorado",76042.0,1458.0,469200.0,4324.0,3744.0,51.0,156.0,08,031,001701,2011,08031001701,2010_tracts,224.93916666666667,1.30104028126123,98933.70506766645,1896.9167300788733,610448.0999677691
