"neighborhood";"rent_growth_pct_z";"household_income_growth_pct_z";"white_nonhispanic_growth_pct_z";"listings_count";"str_density";"avg_revenue";"pct_multi_listing_hosts"
"Montclair";-0.26697153165573695;-0.9480815399392389;-0.4726218402813413;5;1.58;12590.92;26.09
"North Capitol Hill";0.3739198002792716;0.24591829343534782;-0.7851349537093771;18;4.28;26508.51;26.09
"North Park Hill";0.5808791843732307;0.5131119117741885;0.619434996640003;30;14.68;27926.08;22.64
"Northeast Park Hill";-0.03486483344473981;0.33152652392338805;2.3785633053682043;20;5.7;14101.71;26.83
"Overland";0.802406409918833;0.31518038550814653;0.4630053450858286;8;3.85;11853.9;20.0
"Platt Park";2.110835632756721;0.10815541390270475;-0.6047480817054529;36;10.23;31550.51;7.02
"Regis";-0.8016022936510749;0.27822349061336793;-0.07741372847481949;17;9.21;30713.09;15.79
"Rosedale";0.17544469473841928;-1.219274215595716;-0.9121072865116003;9;6.13;22856.93;27.78
"Ruby Hill";-0.4212672103384977;-0.8456214266400219;-0.6621856034321361;8;2.17;51098.89;27.78
"Skyland";0.6179528559851957;0.2801958954989679;2.558142445807579;23;12.97;29080.51;11.63
"Sloan Lake";0.3952411805173707;1.0211388210278354;0.2842004205353998;43;9.99;35333.09;18.29
"South Park Hill";-0.5533835901583951;-0.7164490158367828;-0.4111826018809572;23;6.12;24807.81;13.89
"Southmoor Park";-0.6494731871988048;-0.8993939764075587;-0.5627356357790941;1;0.25;15713.75;0.0
"Speer";0.6937411110803395;-0.573008409755735;-0.3665439593514714;71;7.61;25398.31;25.0
"Sunnyside";0.08778218378074447;0.30475727802168273;0.905667523168097;48;9.01;37672.7;25.44
"Union Station";-0.7172880960500081;-1.150570916217333;-0.6414148371969671;69;8.37;28983.5;19.05
"University";-0.5370067813934197;1.3272091086429725;-0.5339323694644201;17;4.45;24951.17;10.0
"University Hills";0.2565720610780398;0.1939227977648573;-0.20568298822422448;6;1.72;30678.32;19.05
"University Park";0.5089917109028811;-1.3136245907322839;-0.8474804421077362;7;1.48;34048.22;25.0
"Valverde";-4.158222946583057;1.0195300580471658;1.6394766081392607;5;3.15;31395.41;12.5
"Villa Park";0.1709577931195804;-0.5073720235515432;0.7130710048213176;13;4.19;23462.41;15.79
"Virginia Village";0.528104885833659;0.14760976975686851;-0.4608743817912006;18;2.39;22436.91;20.45
"Washington Park";0.004969650320475637;0.16930994432099195;-0.5181317657819667;18;4.77;36236.55;22.22
"Washington Park West";0.7653994204742053;-0.37066836272054854;-0.41171544255395953;33;7.62;27465.81;26.42
"Washington Virginia Vale";-0.17073188577694354;-0.4308178577187119;-0.7730230099579917;13;1.77;19692.0;39.29
"Wellshire";0.29268310504428446;-0.29592109137814143;-0.5481766744121014;2;1.39;36810.6;0.0
"West Colfax";0.9361308524039142;2.5277913439251423;2.446176722799864;83;11.55;33784.39;17.83
"West Highland";0.588855616830642;-1.2562344360042297;-0.26753081737079404;84;14.53;26283.93;18.85
"Westwood";-0.3468180344603807;-0.7565383517652763;-0.8152907314388439;11;2.14;22644.48;14.29
"Whittier";-0.9904272960662206;2.289479502681746;0.9241026860755327;52;23.1;34169.3;22.22
"Windsor";-0.09249241157663686;-0.1654692400204726;-0.6203254031903184;3;0.34;15536.89;0.0
